High,Low,Ao
318.600006,308.700012,0
319.559998,313.299988,0
316.380005,312.75,0
315.660004,308.730011,0
310.290009,306.350006,0
309.380005,304.920013,0
307.48999,305.089996,0
308.339996,304.709991,0
311.910004,305.459991,0
318.910004,310.820007,0
316.359985,308.399994,0
306.959991,299.450012,0
302.470001,297.76001,0
301.480011,297.149994,0
304.190002,297,0
308.540009,304.160004,0
306.5,297.640015,0
306.570007,300.929993,0
308.579987,304.649994,0
307.459991,303.26001,0
309.380005,305.23999,0
309.040009,305.619995,0
312.390015,307.380005,0
316.890015,311.25,0
314.230011,310,0
320.160004,313.380005,0
320.5,314.75,0
316.799988,313.339996,0
320.570007,316.600006,0
321.320007,317.720001,0
318.420013,315.790009,0
318.519989,314.25,0
315.540009,307.75,0
307.23999,303.859985,4.12
310.01001,304.359985,1.84
312.730011,306.850006,0.57
312.829987,307.5,-0.54
312.549988,307.709991,-0.78
313.679993,309.579987,0.33
311.730011,308.339996,0.82
309.51001,306.809998,0.44
311.859985,305.790009,0.1
312.670013,306.380005,-0.04
312.600006,308.299988,-0.15
311.549988,305.920013,-0.3
308.799988,305.600006,-0.61
314.149994,306.630005,-0.6
313.410004,308.01001,-0.7
311.420013,306.98999,-1.2
309.980011,305.279999,-1.46
313.73999,309.619995,-0.85
314.100006,309.040009,-0.84
310.369995,308.279999,-1.2
310.200012,306.869995,-1.42
308.410004,305.480011,-1.55
307.299988,300.5,-3.01
305.269989,301.769989,-4.43
305.559998,300.25,-5.38
305.619995,300.01001,-6.25
305.779999,302.01001,-6.49
306.149994,303.410004,-5.93
305.619995,302.079987,-5.54
308.100006,301.450012,-4.76
312.660004,308.5,-2.94
317.290009,312.429993,-0.68
316.5,310.230011,1.13
312.679993,309.25,2.57
313.179993,303.940002,3.24
306.720001,301.920013,2.07
306.589996,300.76001,0.01
307.549988,301.679993,-1.57
300.549988,294.899994,-3.86
304.429993,295.359985,-5.25
301.299988,292.420013,-6.35
301.51001,295.059998,-7.14
305.630005,302.25,-7.13
307.049988,299.649994,-5.82
302.079987,296.299988,-5.63
299.5,293.390015,-5.35
303.209991,298.970001,-4.61
302.720001,300.589996,-4.81
305.380005,303.359985,-4.42
307.470001,302.579987,-3.13
308.809998,304.98999,-1.02
311.5,308.23999,0.79
311,307.070007,2.34
311.070007,307.850006,3.35
313.220001,309.049988,4.5
313.700012,310.329987,5.37
315.940002,311.769989,5.88
316.920013,313.720001,6.79
318.809998,313.26001,7.72
321.880005,318.119995,8.98
323.980011,319,10.36
325.720001,322.5,11.84
324.549988,322.76001,12.93
324.369995,321.320007,13.76
324.850006,321.609985,14.03
326.399994,324.299988,14.5
327.100006,324.109985,14.43
323.73999,319,13.67
326.910004,322.109985,13.54
328.809998,325.190002,13.62
331.839996,328.570007,13.81
330.25,322.76001,13.35
328.070007,323.059998,13.37
325.98999,317.410004,12.17
325.160004,322.619995,10.75
330.690002,325.790009,9.48
326.880005,323.480011,8.59
326.160004,320.149994,7.52
322.959991,319.809998,6.81
324.23999,320.540009,5.74
323.829987,320.130005,3.88
324.690002,322.359985,2.9
328.26001,324.820007,2.93
329.980011,325.850006,3.56
333.940002,329.119995,4.66
331.48999,328.350006,5.66
329.269989,322.970001,5.68
323,319.559998,4.28
320.559998,317.709991,2.29
322.630005,319.670013,-0.06
322.470001,319,-2.1
322.410004,319.390015,-3.31
323.220001,319.529999,-3.44
330.670013,324.420013,-1.98
330.890015,327.570007,-0.6
334.160004,328.679993,1.33
335.820007,331.429993,3.58
336.320007,334.100006,5.98
337.589996,334.920013,7.34
335.350006,332.220001,8
336.619995,332.200012,8.34
340.380005,334.089996,8.6
341.679993,335.540009,8.86
341.299988,337.660004,9.14
339.279999,336.619995,9.75
341.350006,336.369995,10.27
338.850006,335.660004,9.93
337.470001,334.190002,8.96
335.829987,331.839996,7.54
336.730011,334.369995,6.85
336.399994,332.609985,5.7
337.01001,334.140015,5
342.5,338.399994,5.36
342.079987,338.410004,6.12
341.890015,338.700012,6.53
341.799988,338.910004,7.2
344.070007,340.390015,8.07
343.480011,339.869995,7.91
343.839996,340.929993,8.02
346.440002,344.309998,8.58
346.209991,343.450012,8.93
345,340.51001,8.4
345.720001,341.089996,8.03
347.25,343.540009,7.92
345.380005,341.98999,6.91
346.790009,342.850006,6.2
347.619995,345.100006,6.19
351.190002,346.279999,6.63
349.660004,345.540009,6.53
351.089996,347.519989,7.13
351.269989,348.600006,7.68
351,348.320007,7.91
352.329987,350.209991,7.98
353.420013,351.25,8.38
352.890015,349.690002,8.28
354.470001,349.420013,8.25
355.109985,349.390015,8.36
364.630005,355.149994,9.49
364.25,358.850006,10.64
364.429993,356.059998,11.8
362.350006,355.920013,12.59
359.25,353.200012,12.79
358.950012,356.809998,11.68
357.920013,353.670013,9.93
358.720001,353.380005,8.46
356.299988,351.880005,6.91
354.299988,351.25,5.85
354.179993,349.609985,4.31
353.5,349.660004,3.14
354.320007,351.540009,2.15
357.230011,354.130005,2.07
357.350006,352.920013,2.14
358.410004,354.529999,2.65
358.589996,354.01001,3.27
362.679993,358.600006,4.34
362.470001,359.25,4.85
363.390015,360.600006,5.67
366.470001,360,6.5
362.799988,359.26001,6.94
363.299988,360.869995,6.72
364.829987,361.769989,6.71
366.609985,364.51001,6.93
370.429993,365.470001,7.27
370.839996,365.970001,8.18
370.220001,368.26001,9.05
370.200012,367.519989,9.59
371.329987,367.790009,9.86
373.339996,368.459991,9.9
371.339996,366.730011,9.51
367.200012,362.940002,8.28
363.420013,359.76001,6.56
361.890015,357.269989,4.57
360.790009,357.950012,2.33
360.519989,354.269989,0.08
359.470001,356.670013,-1.29
357.5,348.549988,-2.9
350,345.410004,-4.98
348.23999,342.130005,-7.5
344.01001,339.51001,-10.21
345.940002,342.369995,-12.7
348.76001,341.859985,-14.03
345.899994,342.829987,-14.47
349.51001,345.5,-13.89
349.600006,344.920013,-12.62
348.660004,343.019989,-12
348.440002,343.880005,-11.56
349.940002,345.829987,-10.6
348.410004,344.149994,-10.56
344.829987,339.959991,-10.99
342.690002,338.450012,-11.45
340,334.350006,-12.52
338.880005,333.48999,-14.06
339.850006,337.769989,-14.9
339.619995,336.549988,-15.06
338.320007,335.459991,-15.02
336.190002,330.579987,-14.83
338.359985,332.179993,-14.05
341.48999,337.5,-13.06
345.329987,340.579987,-11.32
349.390015,344.5,-8.66
354.350006,349.790009,-4.41
354.029999,344.059998,-1.01
346.950012,344.299988,0.9
348,344.690002,2.13
350.109985,346.880005,2.83
351.200012,348.600006,2.68
350.649994,348.809998,3.1
355.950012,351.25,4.81
357.309998,354.480011,6.78
360,357.230011,8.64
360.559998,358.070007,10.18
362.609985,358.179993,11.87
363.029999,360.25,12.89
362.459991,360.049988,13.46
363.190002,361.23999,13.68
362.640015,359.579987,13.55
362.119995,359.209991,13.22
361.519989,358.299988,12.5
