High,Low,Close,TypicalPrice
318.600006,308.700012,318.600006,315.3
319.559998,313.299988,315.839996,316.23
316.380005,312.75,316.149994,315.09
315.660004,308.730011,310.570007,311.65
310.290009,306.350006,307.779999,308.14
309.380005,304.920013,305.820007,306.71
307.48999,305.089996,305.98999,306.19
308.339996,304.709991,306.390015,306.48
311.910004,305.459991,311.450012,309.61
318.910004,310.820007,312.329987,314.02
316.359985,308.399994,309.290009,311.35
306.959991,299.450012,301.910004,302.77
302.470001,297.76001,300,300.08
301.480011,297.149994,300.029999,299.55
304.190002,297,302,301.06
308.540009,304.160004,307.820007,306.84
306.5,297.640015,302.690002,302.28
306.570007,300.929993,306.48999,304.66
308.579987,304.649994,305.549988,306.26
307.459991,303.26001,303.429993,304.72
309.380005,305.23999,309.059998,307.89
309.040009,305.619995,308.899994,307.85
312.390015,307.380005,309.910004,309.89
316.890015,311.25,314.549988,314.23
314.230011,310,312.899994,312.38
320.160004,313.380005,318.690002,317.41
320.5,314.75,315.529999,316.93
316.799988,313.339996,316.350006,315.5
320.570007,316.600006,320.369995,319.18
321.320007,317.720001,318.929993,319.32
318.420013,315.790009,317.640015,317.28
318.519989,314.25,314.859985,315.88
315.540009,307.75,308.299988,310.53
307.23999,303.859985,305.230011,305.44
310.01001,304.359985,309.869995,308.08
312.730011,306.850006,310.420013,310
312.829987,307.5,311.299988,310.54
312.549988,307.709991,311.899994,310.72
313.679993,309.579987,310.950012,311.4
311.730011,308.339996,309.170013,309.75
309.51001,306.809998,307.329987,307.88
311.859985,305.790009,311.519989,309.72
312.670013,306.380005,310.570007,309.87
312.600006,308.299988,311.859985,310.92
311.549988,305.920013,308.51001,308.66
308.799988,305.600006,308.429993,307.61
314.149994,306.630005,312.970001,311.25
313.410004,308.01001,308.480011,309.97
311.420013,306.98999,307.209991,308.54
309.980011,305.279999,309.890015,308.38
313.73999,309.619995,313.73999,312.37
314.100006,309.040009,310.790009,311.31
310.369995,308.279999,309.630005,309.43
310.200012,306.869995,308.179993,308.42
308.410004,305.480011,308.23999,307.38
307.299988,300.5,302.720001,303.51
305.269989,301.769989,303.160004,303.4
305.559998,300.25,303.070007,302.96
305.619995,300.01001,304.019989,303.22
305.779999,302.01001,304.660004,304.15
306.149994,303.410004,305.179993,304.91
305.619995,302.079987,304.619995,304.11
308.100006,301.450012,307.75,305.77
312.660004,308.5,312.450012,311.2
317.290009,312.429993,316.970001,315.56
316.5,310.230011,311.119995,312.62
312.679993,309.25,311.369995,311.1
313.179993,303.940002,304.820007,307.31
306.720001,301.920013,303.630005,304.09
306.589996,300.76001,302.880005,303.41
307.549988,301.679993,305.329987,304.85
300.549988,294.899994,297.880005,297.78
304.429993,295.359985,302.01001,300.6
301.299988,292.420013,293.51001,295.74
301.51001,295.059998,301.059998,299.21
305.630005,302.25,303.850006,303.91
307.049988,299.649994,299.730011,302.14
302.079987,296.299988,298.369995,298.92
299.5,293.390015,298.920013,297.27
303.209991,298.970001,302.140015,301.44
302.720001,300.589996,302.320007,301.88
305.380005,303.359985,305.299988,304.68
307.470001,302.579987,305.079987,305.04
308.809998,304.98999,308.769989,307.52
311.5,308.23999,310.309998,310.02
311,307.070007,309.070007,309.05
311.070007,307.850006,310.390015,309.77
313.220001,309.049988,312.51001,311.59
313.700012,310.329987,312.619995,312.22
315.940002,311.769989,313.700012,313.8
316.920013,313.720001,314.549988,315.06
318.809998,313.26001,318.049988,316.71
321.880005,318.119995,319.73999,319.91
323.980011,319,323.790009,322.26
325.720001,322.5,324.630005,324.28
324.549988,322.76001,323.089996,323.47
324.369995,321.320007,323.820007,323.17
324.850006,321.609985,324.329987,323.6
326.399994,324.299988,326.049988,325.58
327.100006,324.109985,324.339996,325.18
323.73999,319,320.529999,321.09
326.910004,322.109985,326.230011,325.08
328.809998,325.190002,328.549988,327.52
331.839996,328.570007,330.170013,330.19
330.25,322.76001,325.859985,326.29
328.070007,323.059998,323.220001,324.78
325.98999,317.410004,320,321.13
325.160004,322.619995,323.880005,323.89
330.690002,325.790009,326.140015,327.54
326.880005,323.480011,324.869995,325.08
326.160004,320.149994,322.98999,323.1
322.959991,319.809998,322.640015,321.8
324.23999,320.540009,322.48999,322.42
323.829987,320.130005,323.529999,322.5
324.690002,322.359985,323.75,323.6
328.26001,324.820007,327.390015,326.82
329.980011,325.850006,329.76001,328.53
333.940002,329.119995,330.390015,331.15
331.48999,328.350006,329.130005,329.66
329.269989,322.970001,323.109985,325.12
323,319.559998,320.200012,320.92
320.559998,317.709991,319.019989,319.1
322.630005,319.670013,320.600006,320.97
322.470001,319,322.190002,321.22
322.410004,319.390015,321.079987,320.96
323.220001,319.529999,323.119995,321.96
330.670013,324.420013,329.480011,328.19
330.890015,327.570007,328.579987,329.01
334.160004,328.679993,333.410004,332.08
335.820007,331.429993,335.420013,334.22
336.320007,334.100006,335.950012,335.46
337.589996,334.920013,335.290009,335.93
335.350006,332.220001,333.600006,333.72
336.619995,332.200012,336.390015,335.07
340.380005,334.089996,335.899994,336.79
341.679993,335.540009,339.820007,339.01
341.299988,337.660004,338.309998,339.09
339.279999,336.619995,338.670013,338.19
341.350006,336.369995,338.609985,338.78
338.850006,335.660004,336.959991,337.16
337.470001,334.190002,335.25,335.64
335.829987,331.839996,334.119995,333.93
336.730011,334.369995,335.339996,335.48
336.399994,332.609985,334.149994,334.39
337.01001,334.140015,336.910004,336.02
342.5,338.399994,341,340.63
342.079987,338.410004,342,340.83
341.890015,338.700012,341.559998,340.72
341.799988,338.910004,341.459991,340.72
344.070007,340.390015,340.899994,341.79
343.480011,339.869995,341.130005,341.49
343.839996,340.929993,343.369995,342.71
346.440002,344.309998,345.350006,345.37
346.209991,343.450012,343.540009,344.4
345,340.51001,341.089996,342.2
345.720001,341.089996,344.25,343.69
347.25,343.540009,345.339996,345.38
345.380005,341.98999,342.429993,343.27
346.790009,342.850006,346.609985,345.42
347.619995,345.100006,345.76001,346.16
351.190002,346.279999,349.630005,349.03
349.660004,345.540009,347.579987,347.59
351.089996,347.519989,349.799988,349.47
351.269989,348.600006,349.309998,349.73
351,348.320007,349.809998,349.71
352.329987,350.209991,351.959991,351.5
353.420013,351.25,352.26001,352.31
352.890015,349.690002,351.190002,351.26
354.470001,349.420013,353.809998,352.57
355.109985,349.390015,349.98999,351.5
364.630005,355.149994,362.579987,360.79
364.25,358.850006,363.730011,362.28
364.429993,356.059998,358.019989,359.5
362.350006,355.920013,356.980011,358.42
359.25,353.200012,358.350006,356.93
358.950012,356.809998,358.480011,358.08
357.920013,353.670013,354.5,355.36
358.720001,353.380005,354.109985,355.4
356.299988,351.880005,353.190002,353.79
354.299988,351.25,352.559998,352.7
354.179993,349.609985,352.089996,351.96
353.5,349.660004,350.570007,351.24
354.320007,351.540009,354.26001,353.37
357.230011,354.130005,354.299988,355.22
357.350006,352.920013,355.929993,355.4
358.410004,354.529999,355.549988,356.16
358.589996,354.01001,358.290009,356.96
362.679993,358.600006,361.059998,360.78
362.470001,359.25,360.200012,360.64
363.390015,360.600006,362.459991,362.15
366.470001,360,360.470001,362.31
362.799988,359.26001,361.670013,361.24
363.299988,360.869995,361.799988,361.99
364.829987,361.769989,363.149994,363.25
366.609985,364.51001,365.519989,365.55
370.429993,365.470001,367.779999,367.89
370.839996,365.970001,367.820007,368.21
370.220001,368.26001,369.5,369.33
370.200012,367.519989,367.859985,368.53
371.329987,367.790009,370.429993,369.85
373.339996,368.459991,370.480011,370.76
371.339996,366.730011,366.820007,368.3
367.200012,362.940002,363.279999,364.47
363.420013,359.76001,360.160004,361.11
361.890015,357.269989,361.709991,360.29
360.790009,357.950012,359.420013,359.39
360.519989,354.269989,357.779999,357.52
359.470001,356.670013,357.059998,357.73
357.5,348.549988,350.299988,352.12
350,345.410004,348.079987,347.83
348.23999,342.130005,343.040009,344.47
344.01001,339.51001,343.690002,342.4
345.940002,342.369995,345.059998,344.46
348.76001,341.859985,346.339996,345.65
345.899994,342.829987,345.450012,344.73
349.51001,345.5,348.559998,347.86
349.600006,344.920013,348.429993,347.65
348.660004,343.019989,345.660004,345.78
348.440002,343.880005,345.089996,345.8
349.940002,345.829987,346.230011,347.33
348.410004,344.149994,345.390015,345.98
344.829987,339.959991,340.890015,341.89
342.690002,338.450012,338.660004,339.93
340,334.350006,335.859985,336.74
338.880005,333.48999,336.839996,336.4
339.850006,337.769989,338.630005,338.75
339.619995,336.549988,336.899994,337.69
338.320007,335.459991,336.160004,336.65
336.190002,330.579987,331.709991,332.83
338.359985,332.179993,337.410004,335.98
341.48999,337.5,341.329987,340.11
345.329987,340.579987,343.75,343.22
349.390015,344.5,349.019989,347.64
354.350006,349.790009,351.809998,351.98
354.029999,344.059998,346.630005,348.24
346.950012,344.299988,346.170013,345.81
348,344.690002,346.299988,346.33
350.109985,346.880005,348.179993,348.39
351.200012,348.600006,350.559998,350.12
350.649994,348.809998,350.01001,349.82
355.950012,351.25,354.25,353.82
357.309998,354.480011,356.790009,356.19
360,357.230011,359.859985,359.03
360.559998,358.070007,358.929993,359.19
362.609985,358.179993,361.329987,360.71
363.029999,360.25,361,361.43
362.459991,360.049988,361.799988,361.44
363.190002,361.23999,362.679993,362.37
362.640015,359.579987,361.339996,361.19
362.119995,359.209991,360.049988,360.46
361.519989,358.299988,358.690002,359.5
